TranscriptId	GeneSym
rna-XR_005273230.1	LOC119743794
rna-XM_038214984.1	LOC119739870
rna-XM_038198754.1	LOC119726903
rna-XM_038222239.1	LOC119745700
rna-XM_038188713.1	LOC119719303
rna-XM_038208298.1	LOC119734752
rna-XM_038221010.1	LOC119744840
rna-XM_038214027.1	LOC119739192
rna-XM_038193198.1	LOC119722835
rna-XM_038194424.1	LOC119723649
rna-XM_038201147.1	LOC119728767
rna-XM_038221193.1	LOC119744960
rna-XR_005271101.1	LOC119728644
rna-XM_038223241.1	LOC119746349
gene-LOC119732796	LOC119732796
rna-XM_038198455.1	LOC119726647
rna-XM_038216203.1	LOC119740781
rna-XM_038189457.1	LOC119719973
rna-XM_038202588.1	LOC119729805
rna-XM_038218964.1	LOC119742793
rna-XM_038222852.1	LOC119746069
rna-XM_038216004.1	LOC119740640
rna-XR_005271007.1	LOC119727777
rna-Trnaq-cug-12	Trnaq-cug
rna-XM_038188368.1	LOC119718996
rna-XM_038200330.1	LOC119728201
rna-XM_038221217.1	LOC119744992
rna-XM_038202771.1	LOC119729982
rna-XM_038219785.1	LOC119743397
rna-XM_038213461.1	LOC119738554
gene-LOC119728141	LOC119728141
rna-XM_038204749.1	LOC119731567
rna-XM_038223342.1	LOC119746417
rna-XM_038210600.1	LOC119736583
rna-XM_038206336.1	LOC119732696
gene-LOC119724051	LOC119724051
rna-XM_038189567.1	LOC119720051
rna-XM_038214782.1	LOC119739740
rna-XM_038191516.1	LOC119721431
rna-XM_038196560.1	LOC119725199
rna-XM_038217819.1	LOC119741854
rna-XM_038218647.1	LOC119742554
rna-XM_038212620.1	LOC119737942
rna-XR_005271185.1	LOC119729096
rna-XM_038190914.1	LOC119721042
rna-XM_038215200.1	LOC119740011
rna-XM_038219435.1	LOC119743087
rna-XM_038211784.1	LOC119737430
rna-XM_038215941.1	LOC119740590
rna-XM_038192285.1	LOC119722240
rna-XM_038194413.1	LOC119723644
rna-XM_038198454.1	LOC119726675
rna-XM_038209806.1	LOC119735866
rna-XM_038196689.1	LOC119725308
rna-XM_038193279.1	LOC119722878
rna-XM_038202136.1	LOC119729534
rna-XM_038220852.1	LOC119744751
rna-XM_038196642.1	LOC119725279
rna-XM_038218007.1	LOC119742007
rna-XM_038218120.1	LOC119742096
rna-XM_038196897.1	LOC119725490
rna-XM_038207098.1	LOC119733714
rna-XM_038189214.1	LOC119719695
rna-XM_038197299.1	LOC119725745
rna-XR_005272978.1	LOC119743159
rna-XM_038195627.1	LOC119724530
rna-XM_038197326.1	LOC119725764
rna-XM_038205061.1	LOC119731789
rna-XM_038208848.1	LOC119735146
rna-XM_038221262.1	LOC119745038
rna-XR_005270928.1	LOC119727249
rna-XR_005271737.1	LOC119733268
rna-XM_038199242.1	LOC119727374
rna-XM_038194665.1	LOC119723799
rna-XM_038204674.1	LOC119731488
rna-XM_038188660.1	LOC119719273
rna-XM_038214889.1	LOC119739805
rna-XM_038216417.1	LOC119740928
rna-XM_038202038.1	LOC119729472
rna-XM_038212398.1	LOC119737788
rna-XM_038222250.1	LOC119745709
rna-XM_038196705.1	LOC119725323
rna-XM_038209120.1	LOC119735419
rna-XR_005269981.1	LOC119719531
rna-XM_038212673.1	LOC119737982
rna-XM_038200967.1	LOC119728656
rna-XR_005271868.1	LOC119733500
rna-XM_038192016.1	LOC119722033
rna-XR_005273694.1	LOC119746115
rna-XM_038198714.1	LOC119726860
rna-XM_038210713.1	LOC119736699
rna-XR_005272369.1	LOC119737351
rna-XM_038211899.1	LOC119737493
rna-XM_038189236.1	LOC119719739
rna-XR_005270945.1	LOC119727432
rna-Trnag-gcc-18	Trnag-gcc
