TranscriptId	GeneSym
rna-XR_004063344.1	LOC115922159
rna-XM_030982744.1	LOC588760
rna-XM_030999857.1	LOC115929838
rna-XM_030996794.1	LOC105439753
rna-XM_791784.4	LOC592251
rna-XM_011664952.2	LOC586828
rna-XM_030986101.1	LOC115924203
rna-TRNAK-UUU-5	TRNAK-UUU
rna-XM_003725636.3	LOC583480
rna-TRNAA-UGC-14	TRNAA-UGC
rna-XM_030994609.1	LOC105445674
gene-LOC115922459	LOC115922459
rna-XM_030985716.1	LOC105438200
rna-NM_214537.1	FGFR
rna-XM_030992859.1	LOC585447
rna-XR_004062334.1	LOC105446302
rna-XR_004064362.1	LOC105437845
rna-XM_030971952.1	LOC583748
rna-XM_030974416.1	LOC575143
rna-XM_030981468.1	LOC115922506
rna-XM_030977629.1	LOC115920895
rna-XM_030974967.1	LOC105445701
rna-XM_030972303.1	LOC115919180
rna-XM_030992569.1	LOC115927097
rna-XM_001175481.4	LOC752244
rna-XR_004062665.1	LOC756989
rna-XM_030990891.1	LOC115926222
rna-XM_030985941.1	LOC115924130
rna-XM_030972266.1	LOC100889389
rna-XR_004062042.1	LOC115919850
rna-XR_004065099.1	LOC105444487
rna-XM_030977582.1	LOC115920873
rna-XM_030996551.1	LOC100893594
rna-XM_011674810.2	LOC105442572
rna-XR_004065889.1	LOC115928114
rna-XM_030981999.1	LOC594398
rna-XM_030990733.1	LOC582174
rna-XM_030976922.1	LOC115920640
rna-XM_003723740.3	LOC100892475
rna-XM_030981047.1	LOC578227
rna-XM_030980890.1	LOC115922278
rna-XM_030985709.1	LOC100891579
rna-XM_011665417.2	LOC100891108
rna-XM_030992066.1	LOC100890264
rna-TRNAR-UCG-14	TRNAR-UCG
rna-XR_971001.2	LOC105438563
rna-XM_003729835.3	LOC100892049
rna-XM_784545.5	LOC584693
rna-XM_030986708.1	LOC765147
rna-XM_030992938.1	LOC105442945
rna-XM_030972158.1	LOC589708
rna-XM_030977727.1	LOC115920936
rna-XM_030979310.1	LOC100890997
rna-XM_030996323.1	LOC115928661
rna-XM_030979935.1	LOC115921773
rna-XR_004066393.1	LOC115929232
rna-XR_004064772.1	LOC115925534
rna-XM_030993858.1	LOC115927690
rna-XM_030988523.1	LOC115925165
rna-XM_030996259.1	LOC764926
rna-XM_030987743.1	LOC105445582
rna-XM_778914.5	LOC578762
rna-XM_030979085.1	LOC592285
rna-XM_030974994.1	LOC592026
rna-XM_030978879.1	LOC115921413
rna-XM_791971.4	LOC592449
rna-XM_030993937.1	LOC105441906
rna-XR_004062747.1	LOC115921105
rna-XR_004063937.1	LOC115923512
rna-XM_030979612.1	LOC589757
rna-XM_030998801.1	LOC577479
rna-XM_030994189.1	LOC115927882
rna-XM_011670582.2	LOC594820
rna-XM_030987845.1	LOC115924933
rna-XM_030982912.1	LOC100892589
rna-XM_030998553.1	LOC115919060
rna-XM_030999454.1	LOC578370
rna-XM_030990752.1	LOC764176
rna-XM_030992067.1	LOC100890264
rna-XM_030998725.1	LOC575508
rna-XR_004066424.1	LOC590125
rna-XM_030977065.1	LOC581320
rna-XM_030984481.1	LOC578237
rna-XM_030976527.1	LOC115920569
rna-XM_011674616.2	LOC585706
rna-XM_030978828.1	LOC115921374
rna-XM_030991090.1	LOC115918799
rna-XM_030995673.1	LOC100891774
rna-XM_791273.2	LOC591722
rna-XM_001200615.4	LOC764345
rna-XM_030981163.1	LOC587886
rna-XM_778436.5	LOC578252
rna-XM_030979717.1	LOC578712
rna-XR_004066592.1	LOC115918239
rna-XM_030987028.1	LOC115918687
rna-XM_030984066.1	LOC577991
rna-XM_030973423.1	LOC100890406
rna-TRNAG-GCC	TRNAG-GCC
rna-XM_030993022.1	LOC115927290
rna-XM_030993618.1	LOC755521
rna-XM_011683581.2	LOC100891928
rna-XM_003730719.3	LOC100892135
rna-XM_030973483.1	LOC115918052
rna-XM_030989664.1	LOC755573
rna-XM_030984085.1	LOC762897
rna-XM_030986536.1	LOC588292
rna-XM_030997224.1	LOC115929075
rna-XR_004064491.1	LOC115924938
rna-XR_004064249.1	LOC115924271
rna-XR_004062870.1	LOC115921453
gene-LOC115926977	LOC115926977
rna-XM_011679968.2	LOC105444986
rna-XM_030993191.1	LOC115927396
rna-XM_030989657.1	LOC587706
rna-XM_030993521.1	LOC583787
rna-TRNAR-UCG-5	TRNAR-UCG
rna-XM_030973083.1	LOC115918312
rna-NM_214622.2	LOC577210
rna-XM_030984906.1	LOC115923693
rna-XM_011676773.2	LOC589017
rna-XR_004066199.1	LOC115928725
rna-XM_030985906.1	LOC105442317
rna-XR_004061725.1	LOC752819
rna-XR_973289.2	LOC105445157
rna-XM_794881.5	LOC577914
rna-XR_004064075.1	LOC115923765
rna-XM_783890.5	LOC584006
rna-XM_001184597.4	LOC754150
rna-NM_214614.2	SpRunt-1
rna-XR_004064716.1	LOC115925435
rna-XM_030974776.1	LOC115919990
rna-TRNAR-ACG-14	TRNAR-ACG
rna-XR_004063533.1	LOC115922655
rna-XM_011681424.2	LOC580984
rna-XM_030992695.1	LOC589953
rna-XM_031000362.1	LOC576256
rna-XM_030973060.1	LOC100888381
rna-XM_030993587.1	LOC105441766
rna-XR_004066258.1	LOC115928862
rna-XM_011679756.2	LOC585521
rna-XM_030999155.1	LOC576422
rna-TRNAS-AGA-3	TRNAS-AGA
rna-XM_030985345.1	LOC115923973
rna-XM_030982674.1	LOC588922
rna-XM_011682469.2	LOC105446097
rna-XM_778688.5	LOC578525
rna-XR_004063456.1	LOC115922399
rna-XM_030974385.1	LOC576214
rna-XR_004066483.1	LOC115929406
rna-XM_031000514.1	LOC115919119
rna-XM_011665548.2	LOC575286
rna-XM_011674755.2	LOC105442548
rna-XM_030996438.1	LOC579362
rna-XM_786002.4	LOC586211
rna-XM_030990542.1	LOC115926101
rna-XM_030980318.1	LOC100890478
rna-XM_003725574.3	LOC577848
rna-XM_030999312.1	LOC765167
rna-XM_030998082.1	LOC752349
rna-XM_003723724.3	LOC100893880
rna-XM_030982406.1	LOC115918260
rna-XM_779851.5	LOC579754
rna-XM_003723534.3	LOC100891454
rna-XM_790319.5	LOC590723
rna-XM_011674406.2	LOC105442365
rna-XM_030996204.1	LOC585926
rna-XM_030995877.1	LOC115918967
rna-XM_030999726.1	LOC576024
rna-XM_030989839.1	LOC105444694
rna-XM_030977732.1	LOC115920940
rna-XM_782894.5	LOC582966
rna-XM_030974031.1	LOC100887944
rna-XM_030983196.1	LOC105442106
rna-XM_030982617.1	LOC115917967
rna-XM_030994970.1	LOC754582
rna-XM_030996496.1	LOC575146
rna-XM_030998040.1	LOC115929310
rna-XM_011662374.2	LOC578158
rna-XM_030989266.1	LOC583266
rna-XM_003724411.3	LOC752743
rna-XM_030977094.1	LOC579263
rna-TRNAL-CAG-18	TRNAL-CAG
rna-XM_030998958.1	LOC115929568
rna-XM_030983366.1	LOC586244
rna-XM_030994259.1	LOC115927913
rna-XM_030975313.1	LOC115920188
rna-XR_004066131.1	LOC105443642
rna-XM_031000568.1	LOC592592
rna-XM_030981835.1	LOC753389
rna-XM_030990050.1	LOC580611
rna-XM_011683269.2	LOC577726
rna-XM_030974839.1	LOC115918204
rna-XM_030975822.1	LOC105443976
rna-TRNAR-UCU-21	TRNAR-UCU
rna-XM_030995146.1	LOC753999
rna-XM_030999591.1	LOC115919093
rna-XR_004064170.1	LOC115924077
rna-XM_030997232.1	LOC115929079
rna-XR_004065330.1	LOC115917794
rna-XM_030993007.1	LOC115927282
rna-XM_011677656.2	LOC105443958
rna-NM_214608.1	rej
rna-XM_030996505.1	LOC590093
rna-XM_030985306.1	LOC585319
rna-TRNAT-AGU-4	TRNAT-AGU
rna-XM_030972232.1	LOC115919165
rna-XR_004062584.1	LOC115920871
rna-XM_003723804.3	LOC100891902
rna-XM_030976660.1	LOC105447482
gene-LOC115926949	LOC115926949
rna-XM_030987169.1	LOC757212
rna-XM_030988325.1	LOC105444270
rna-XM_030991320.1	LOC115918803
rna-XM_030992101.1	LOC757080
rna-XR_004065898.1	LOC115928121
rna-XM_030979923.1	LOC592523
rna-XM_030981398.1	LOC115922478
rna-XR_004062855.1	LOC753378
rna-XM_030985415.1	LOC586606
rna-XR_004062916.1	LOC115921506
rna-XR_004065713.1	LOC105442502
rna-XR_004062535.1	LOC105440616
rna-XR_004065755.1	LOC115927793
rna-XM_030973824.1	LOC105437489
rna-XM_030993214.1	LOC754291
rna-XM_030982963.1	LOC100893438
rna-XM_030981535.1	LOC100890291
rna-XM_030984721.1	LOC575216
rna-XM_030987549.1	LOC105437673
rna-XR_004062179.1	LOC115920091
rna-XM_030992051.1	LOC763846
rna-XM_030984572.1	LOC105445243
rna-XM_030994667.1	LOC583105
rna-XM_030973076.1	LOC115919402
rna-XM_030979108.1	LOC579280
rna-XR_004066695.1	LOC115929722
rna-XM_030983180.1	LOC756255
rna-XM_030987091.1	LOC577790
rna-XM_030996627.1	LOC105437226
rna-XM_030982777.1	LOC115922953
rna-XM_011674107.2	LOC100889197
rna-XM_030979981.1	LOC591155
rna-XM_776575.5	LOC576250
rna-XM_030978996.1	LOC105438542
rna-XR_004061828.1	LOC754053
rna-XM_030994559.1	LOC575116
rna-XM_011674962.1	LOC105442649
rna-XM_011668939.2	LOC591917
rna-XM_030972394.1	LOC594527
rna-XR_004062754.1	LOC105441368
rna-XM_030978653.1	LOC105437953
rna-XM_030982029.1	LOC100887884
rna-XM_001178255.4	LOC754218
rna-XM_030984257.1	LOC582602
rna-XM_794173.5	LOC594743
rna-XM_030992381.1	LOC115918152
rna-XM_001178526.4	LOC753951
rna-XM_030990020.1	LOC115925954
rna-XM_030974511.1	LOC576525
rna-XM_030992352.1	LOC586216
rna-TRNAM-CAU-54	TRNAM-CAU
rna-XM_003729929.1	LOC100890509
rna-XM_030977914.1	LOC100889886
rna-XM_030979231.1	LOC115921617
rna-XM_030974427.1	LOC584906
rna-XM_030997071.1	LOC115919017
rna-XM_011667650.2	LOC578352
rna-XR_004064393.1	LOC115924626
rna-XM_030999149.1	LOC105442668
rna-XM_030983270.1	LOC580684
rna-XR_004065049.1	LOC105441587
rna-XM_782604.5	LOC582659
rna-XM_030972608.1	LOC115919259
rna-XM_030981430.1	LOC115922487
rna-XM_030985503.1	LOC575645
rna-XM_030981182.1	LOC115922337
rna-XM_030998168.1	LOC105446327
rna-XR_004063006.1	LOC115921630
rna-XM_030974479.1	LOC100890285
rna-XM_030981066.1	LOC580021
rna-TRNAE-CUC-23	TRNAE-CUC
rna-TRNAG-GCC-13	TRNAG-GCC
rna-XM_030979917.1	LOC756397
rna-XM_030982162.1	LOC754694
rna-XR_004064302.1	LOC115924444
rna-XM_785276.5	LOC585449
rna-XM_001199154.4	LOC763247
